Order Id,Customer Id,Customer Name,Product Id,Product Name,Product Category,Payment Type,Quantity ordered,Price,Date and time when order was placed,Customer Country,Customer City,Site from where order was placed,Payment Transaction Confirmation Id,Payment Success or Failure,Reason for payment failure
9893ef2a-a3e8-49a9-865b-a6a5e65d529d,cd8fbd77-60ac-4a57-8809-7007cfaaf03a,Tina Thomas,e87b9479-5cf2-4d03-b938-85cf8fc03e4c,Lotion,Electronics,Wallet,3,225.5,2022-09-10 00:03:33,USA,East Matthew,Amazon,72f62695-699b-442b-a6de-fa1c4445af2f,Y,
9fe07613-8679-4975-acfd-a7b9426b3611,f01fe095-cabb-4472-8d81-9e63a6867a86,Dawn Bridges,af51211c-79c4-459e-95be-a356d520e0dc,Coffee,Electronics,UPI,5,147.49,2020-11-27 00:53:37,UK,Alexmouth,eBay,81f1f81a-8221-4909-802a-25e431a48541,Y,
f5dfe05f-3116-4733-b85c-9de04e6d69f2,ee9215d2-abad-4b75-8072-c1fd02ae2616,Alexander Johnson,1bb30b02-31c3-4b42-8edc-905a8afa8f3a,Cleaning Spray,Electronics,UPI,1,393.17,2022-10-07 05:35:09,Germany,Lake Jason,Shopify,1d4221be-5793-471c-8804-aa2c5ffa31cc,N,Card expired
edc2adc0-bd94-4d69-8247-a4ee2533d184,49e33d15-33ba-4167-bb7b-d4c61c9e0f65,Kathleen Mcguire,1ddd61d3-5601-405a-bf54-4014a1f86c51,"Car Maintenance Products (e.g., motor oil)",Sports,Card,5,900.88,2023-07-10 04:22:56,Canada,Millershire,Walmart,729770a0-8882-4abb-8fa4-60aa2600ebf4,N,Payment gateway error
a2f9cfe3-470f-4dc8-b46b-6f5204101378,7b91edf1-b005-48c4-9078-4a8abe5fd059,Cindy Leonard,95b292d4-91cc-46fd-87ec-deefea61dddc,Notebooks,Electronics,Internet Banking,1,29.05,2024-04-10 12:40:44,USA,Oscarchester,Walmart,84baff7c-8edb-4af0-9090-857e16b41998,Y,
2bb4ebb2-6d6e-4ea7-a19f-e867bd3755a4,5ce72746-3199-432d-8989-4e4a15a12921,Patrick Cooke,3cdb877b-f9dd-4d80-959f-1484aa8f09c4,Pens,Electronics,Internet Banking,1,309.32,2021-06-21 20:21:01,India,East James,eBay,3d934ddf-1112-41b1-9a1d-350c787f21b9,N,Payment gateway error
21926304-bfb2-4d9d-b7d3-901427eb2965,df202b0b-e47b-4c61-a703-356327043ba3,Mr. Robert Jackson,c8d3b4df-e473-4004-a0e2-b18596ff9b7b,Juice,Home & Kitchen,Card,5,174.53,2020-06-04 07:17:27,USA,West Brenda,Walmart,d6d25530-b245-472a-94fe-efc7c350b779,Y,
2231002e-424b-4529-8cc9-c9c4b0029957,77f7ee20-262b-42c2-9899-95e0a0d352f5,Joshua Brooks,d13cf553-cf30-46b2-9c33-332323c5066a,Smartphones,Clothing,Internet Banking,3,793.42,2020-05-27 12:14:03,UK,Smithburgh,Amazon,ff73d553-9a3b-4e57-895e-04c340116f6a,Y,
e84706eb-6e83-4c40-aabe-048ae82291e4,3834c7aa-8a78-4c34-8d85-f4411f69c17d,Beverly Douglas,b482b6ac-6680-4e49-80e8-bed3a94ab467,Deodorant,Clothing,Card,3,988.7,2022-08-27 12:23:49,Canada,Ryanborough,Walmart,398f5541-f652-4743-82f2-837b5f58ee2f,Y,
fbd8d297-e6a0-4843-96ea-88e66790da2c,453196a0-c35e-4d66-b42a-657456f27880,Lauren Phelps,d1bc424f-ae7f-4dba-a864-5fe647f55462,Headphones,Books,Wallet,4,455.82,2020-05-11 05:45:20,Canada,North Willie,Shopify,a53ab72d-a599-40c1-81a1-1774a35daf21,N,
